#MM,DD,duration,signal,frequency
9,8,99,8,743
9,9,260,30,520
9,10,0,0,0
9,11,22,2,660
9,12,96,32,180
9,13,110,20,330
9,14,20,1,1200
9,15,125,23,326
9,16,18,1,1080
9,17,0,0,0
9,18,25,0,0
9,19,122,23,318
9,20,26,3,520
9,21,82,16,308
9,22,42,5,524
9,23,0,0,0
9,24,0,0,0
9,25,105,13,485
9,26,95,18,317
9,27,96,19,303
9,28,45,9,300
