Day,Time,Not productive,Productive,Morning,Afternoon,Night
Thurs,3,0,3,0,3,0
Fri,8,3,5,3,1,4
Sat,3,0,3,0,0,3
Sun,2,2,0,2,0,0
Mon,9,1,8,3,3,3
Tues,4,0,4,0,0,4
Wed,9,0,9,3,3,3
Thurs,7,1,6,2,4,1
Fri,3,0,3,3,0,0
Sat,6,3,3,1,0,5
Sun,1,0,1,0,0,1
Mon,10,1,9,4,3,3
Tues,5,2,3,3,0,2
Wed,6,0,6,3,3,3
Thurs,7.35,5.15,2.20,0,2.35,5
Fri,3.19,1.23,1.55,1,1.19,1
Sat,1.06,0.42,0.22,0,1.06,0
Sun,2.46,31,2.15,0,0,2.46
